theta0,theta1,is_valid
21,35,False
23,-35,False
23,-33,False
23,-31,False
23,-29,False
23,-27,False
23,-25,False
23,-23,False
23,-21,False
23,-19,False
23,-17,False
23,-15,False
23,-13,False
23,-11,False
23,-9,False
23,-7,True
23,-5,True
23,-3,True
23,-1,True
23,1,True
23,3,True
23,5,True
23,7,True
23,9,True
23,11,True
23,13,True
23,15,True
23,17,True
23,19,True
23,21,True
23,23,True
23,25,True
23,27,True
23,29,True
23,31,True
23,33,True
23,35,False
25,-35,False
25,-33,False
25,-31,False
25,-29,False
25,-27,False
25,-25,False
25,-23,False
25,-21,False
25,-19,False
25,-17,False
25,-15,False
25,-13,False
25,-11,False
25,-9,False
25,-7,False
25,-5,True
25,-3,True
25,-1,True
25,1,True
25,3,True
25,5,True
25,7,True
25,9,True
25,11,True
25,13,True
25,15,True
25,17,True
25,19,True
25,21,True
25,23,True
25,25,True
25,27,True
25,29,True
25,31,True
25,33,True
25,35,False
27,-35,False
27,-33,False
27,-31,False
27,-29,False
27,-27,False
27,-25,False
27,-23,False
27,-21,False
27,-19,False
27,-17,False
27,-15,False
27,-13,False
27,-11,False
27,-9,False
27,-7,False
27,-5,False
27,-3,False
27,-1,False
27,1,False
27,3,False
27,5,True
27,7,False
27,9,True
27,11,True
27,13,True
27,15,True
27,17,True
27,19,True
27,21,True
27,23,True
27,25,True
27,27,True
27,29,True
27,31,True
27,33,True
27,35,False
29,-35,False
29,-33,False
29,-31,False
29,-29,False
29,-27,False
29,-25,False
29,-23,False
29,-21,False
29,-19,False
29,-17,False
29,-15,False
29,-13,False
29,-11,False
29,-9,False
29,-7,False
29,-5,False
29,-3,False
29,-1,False
29,1,False
29,3,False
29,5,False
29,7,False
29,9,False
29,11,False
29,13,False
29,15,False
29,17,False
29,19,False
29,21,False
29,23,True
29,25,True
29,27,True
29,29,True
29,31,True
29,33,True
29,35,False
31,-35,False
31,-33,False
31,-31,False
31,-29,False
31,-27,False
31,-25,False
31,-23,False
31,-21,False
31,-19,False
31,-17,False
31,-15,False
31,-13,False
31,-11,False
31,-9,False
31,-7,False
31,-5,False
31,-3,False
31,-1,False
31,1,False
31,3,False
31,5,False
31,7,False
31,9,False
31,11,False
31,13,False
31,15,False
31,17,False
31,19,False
31,21,False
31,23,False
31,25,False
31,27,False
31,29,False
31,31,False
31,33,False
31,35,False
33,-35,False
33,-33,False
33,-31,False
33,-29,False
33,-27,False
33,-25,False
33,-23,False
33,-21,False
33,-19,False
33,-17,False
33,-15,False
33,-13,False
33,-11,False
33,-9,False
33,-7,False
33,-5,False
33,-3,False
33,-1,False
33,1,False
33,3,False
33,5,False
33,7,False
33,9,False
33,11,False
33,13,False
33,15,False
33,17,False
33,19,False
33,21,False
33,23,False
33,25,False
33,27,False
33,29,False
33,31,False
33,33,False
33,35,False
35,-35,False
35,-33,False
35,-31,False
35,-29,False
35,-27,False
35,-25,False
35,-23,False
35,-21,False
35,-19,False
35,-17,False
35,-15,False
35,-13,False
35,-11,False
35,-9,False
35,-7,False
35,-5,False
35,-3,False
35,-1,False
35,1,False
35,3,False
35,5,False
35,7,False
35,9,False
35,11,False
35,13,False
35,15,False
35,17,False
35,19,False
35,21,False
35,23,False
35,25,False
35,27,False
35,29,False
35,31,False
35,33,False
35,35,False
